VAV,Critical Cool,Critical Heat,Critical Pressure,Reheat,Thermal Load
S1-13,0.0,0.0,0.0,830.633717252,-411.474474155
S1-10,0.0,0.0,0.0,2438.92098329,-3719.55723824
S1-08,0.0,0.0,0.0,699.833072916,-727.941887878
S2-01,0.0,1.0,0.0,1207.57763245,-1151.76504914
S3-20,0.0,1.0,0.0,739.015325128,-602.965486964
S3-21,0.0,0.805555555556,0.0,742.896861977,-848.353136826
S2-21,0.111111111111,0.0,0.0,2130.66997717,-2053.79239203
S2-20,0.0,1.0,0.0,-1245.28688574,-1576.1637471
S1-01,1.0,0.0,0.986111111111,2279.19152755,-10373.6861295
S1-02,0.0,0.0,0.0,898.594705899,-1129.14636541
S1-03,0.0,0.0,0.0,2543.60935461,-3340.17387896
S1-04,0.0,0.0,0.0,1522.40760593,-730.606427647
S1-07,0.0,0.0,0.0,910.434070271,-537.466322682
S3-05,0.0,1.0,0.0,714.630912838,-702.880605517
S2-05,0.0,1.0,0.0,728.940845975,-812.317842676
S3-03,0.0,1.0,0.0,633.258640227,-506.811505969
S5-16,0.0,1.0,0.0,502.209337225,-467.454954208
S2-06,0.0,1.0,0.0,1334.76215272,-1935.35095283
S2-03,0.0,1.0,0.0,831.663007023,-682.005447778
S7-10,0.0,0.350694444444,0.0,1437.62289244,-3045.46771425
S7-13,0.0,0.899305555556,0.0,466.29897472,-691.987447875
S7-15,0.0,0.0,0.0,539.397116679,-516.608157964
S7-14,0.0,0.513888888889,0.0,437.630550019,-764.831760779
S7-16,0.0,0.53125,0.0,1010.04915488,-469.516966996
S4-18,0.0,1.0,0.0,435.795340916,-647.811868208
S4-19,0.0,0.0,0.0,736.656163198,-457.038495562
S5-06,0.0,0.9375,0.0,619.081655542,-386.562560427
S5-13,0.0,1.0,0.0,697.386434718,-1058.78977012
S5-11,0.0,0.0,0.0,434.107516821,-556.88887176
S5-10,0.0,0.440972222222,0.0,653.836133381,-2017.10204623
S2-18,0.0,0.517361111111,0.0,2728.55463762,-5145.27261543
S2-19,0.0,0.583333333333,0.0972222222222,4242.50418207,-5552.56363909
S2-12,0.0,1.0,0.0,707.709597848,-1190.52219877
S2-13,0.0,1.0,0.0,10885.9178725,1310.44736564
S2-10,0.0,1.0,0.0,711.949540836,-1078.85699265
S2-11,0.0,1.0,0.0,731.821175193,-1076.29252772
S2-16,0.0,0.947916666667,0.0,3179.71110829,-4062.1398012
S2-17,0.0,1.0,0.0,1192.27910366,-1513.73237082
S2-14,0.0,0.0,0.0,705.314761067,-599.998347863
S2-15,0.0,1.0,0.0,-2657.79484601,-2519.38082587
S5-04,0.0,0.947916666667,0.0,641.775083928,-520.956571043
S5-05,0.0,1.0,0.0,482.523850674,-583.581119169
S1-20,0.0,0.0,0.0,632.439400839,-714.069267191
S5-07,0.0,0.9375,0.0,648.035302445,-944.873931593
S5-01,0.0,0.815972222222,0.0,606.055145019,-455.90782142
S5-02,0.0,1.0,0.0,664.095627902,-358.941703722
S5-03,0.0,0.756944444444,0.0,683.883405059,-466.062197775
S4-11,0.0,1.0,0.0,600.554506385,-722.725205142
S4-12,0.0,0.802083333333,0.0,664.659809547,-616.231290996
S4-13,0.0,0.822916666667,0.0,697.538331568,-584.916683692
S5-08,0.0,1.0,0.0,731.158386981,-1219.23260121
S4-15,0.0,0.0,0.0,853.395996581,-373.639926315
S4-16,0.0,1.0,0.0,223.430203274,-641.691532299
S1-19,0.0,0.0,0.0,1121.40675919,-2274.57866077
S1-18,0.0,0.0,0.486111111111,912.213188679,-676.420045637
S1-17,0.0,0.0,0.222222222222,726.852682905,-724.709192369
S1-16,0.0,0.0,0.0,577.182076042,-648.39357748
S1-15,0.0,0.0,0.989583333333,2588.9463656,-5056.15562824
S1-13,0.0,0.0,0.0,830.633717252,-411.474474155
S1-10,0.0,0.0,0.0,2438.92098329,-3719.55723824
S1-08,0.0,0.0,0.0,699.833072916,-727.941887878
S2-01,0.0,1.0,0.0,1207.57763245,-1151.76504914
S3-20,0.0,1.0,0.0,739.015325128,-602.965486964
S3-21,0.0,0.805555555556,0.0,742.896861977,-848.353136826
S2-21,0.111111111111,0.0,0.0,2130.66997717,-2053.79239203
S2-20,0.0,1.0,0.0,-1245.28688574,-1576.1637471
S1-01,1.0,0.0,0.986111111111,2279.19152755,-10373.6861295
S1-02,0.0,0.0,0.0,898.594705899,-1129.14636541
S1-03,0.0,0.0,0.0,2543.60935461,-3340.17387896
S1-04,0.0,0.0,0.0,1522.40760593,-730.606427647
S1-07,0.0,0.0,0.0,910.434070271,-537.466322682
S3-05,0.0,1.0,0.0,714.630912838,-702.880605517
S2-05,0.0,1.0,0.0,728.940845975,-812.317842676
S3-03,0.0,1.0,0.0,633.258640227,-506.811505969
S5-16,0.0,1.0,0.0,502.209337225,-467.454954208
S2-06,0.0,1.0,0.0,1334.76215272,-1935.35095283
S2-03,0.0,1.0,0.0,831.663007023,-682.005447778
S7-10,0.0,0.350694444444,0.0,1437.62289244,-3045.46771425
S7-13,0.0,0.899305555556,0.0,466.29897472,-691.987447875
S7-15,0.0,0.0,0.0,539.397116679,-516.608157964
S7-14,0.0,0.513888888889,0.0,437.630550019,-764.831760779
S7-16,0.0,0.53125,0.0,1010.04915488,-469.516966996
S4-18,0.0,1.0,0.0,435.795340916,-647.811868208
S4-19,0.0,0.0,0.0,736.656163198,-457.038495562
S5-06,0.0,0.9375,0.0,619.081655542,-386.562560427
S5-13,0.0,1.0,0.0,697.386434718,-1058.78977012
S5-11,0.0,0.0,0.0,434.107516821,-556.88887176
S5-10,0.0,0.440972222222,0.0,653.836133381,-2017.10204623
S3-11,0.0,0.760416666667,0.0,972.650840674,-167.403321286
S2-18,0.0,0.517361111111,0.0,2728.55463762,-5145.27261543
S2-19,0.0,0.583333333333,0.0972222222222,4242.50418207,-5552.56363909
S2-12,0.0,1.0,0.0,707.709597848,-1190.52219877
S2-13,0.0,1.0,0.0,10885.9178725,1310.44736564
S2-10,0.0,1.0,0.0,711.949540836,-1078.85699265
S2-11,0.0,1.0,0.0,731.821175193,-1076.29252772
S2-16,0.0,0.947916666667,0.0,3179.71110829,-4062.1398012
S2-17,0.0,1.0,0.0,1192.27910366,-1513.73237082
S2-14,0.0,0.0,0.0,705.314761067,-599.998347863
S2-15,0.0,1.0,0.0,-2657.79484601,-2519.38082587
S5-04,0.0,0.947916666667,0.0,641.775083928,-520.956571043
S5-05,0.0,1.0,0.0,482.523850674,-583.581119169
S1-20,0.0,0.0,0.0,632.439400839,-714.069267191
S5-07,0.0,0.9375,0.0,648.035302445,-944.873931593
S5-01,0.0,0.815972222222,0.0,606.055145019,-455.90782142
S5-02,0.0,1.0,0.0,664.095627902,-358.941703722
S5-03,0.0,0.756944444444,0.0,683.883405059,-466.062197775
S4-11,0.0,1.0,0.0,600.554506385,-722.725205142
S4-12,0.0,0.802083333333,0.0,664.659809547,-616.231290996
S4-13,0.0,0.822916666667,0.0,697.538331568,-584.916683692
S5-08,0.0,1.0,0.0,731.158386981,-1219.23260121
S4-15,0.0,0.0,0.0,853.395996581,-373.639926315
S4-16,0.0,1.0,0.0,223.430203274,-641.691532299
S1-19,0.0,0.0,0.0,1121.40675919,-2274.57866077
S1-18,0.0,0.0,0.486111111111,912.213188679,-676.420045637
S1-17,0.0,0.0,0.222222222222,726.852682905,-724.709192369
S1-16,0.0,0.0,0.0,577.182076042,-648.39357748
S1-15,0.0,0.0,0.989583333333,2588.9463656,-5056.15562824
S1-13,0.0,0.0,0.0,830.633717252,-411.474474155
S1-10,0.0,0.0,0.0,2438.92098329,-3719.55723824
S1-08,0.0,0.0,0.0,699.833072916,-727.941887878
S2-01,0.0,1.0,0.0,1207.57763245,-1151.76504914
S3-20,0.0,1.0,0.0,739.015325128,-602.965486964
S3-21,0.0,0.805555555556,0.0,742.896861977,-848.353136826
S2-21,0.111111111111,0.0,0.0,2130.66997717,-2053.79239203
S2-20,0.0,1.0,0.0,-1245.28688574,-1576.1637471
S1-01,1.0,0.0,0.986111111111,2279.19152755,-10373.6861295
S1-02,0.0,0.0,0.0,898.594705899,-1129.14636541
S1-03,0.0,0.0,0.0,2543.60935461,-3340.17387896
S1-04,0.0,0.0,0.0,1522.40760593,-730.606427647
S1-07,0.0,0.0,0.0,910.434070271,-537.466322682
S3-05,0.0,1.0,0.0,714.630912838,-702.880605517
S2-05,0.0,1.0,0.0,728.940845975,-812.317842676
S3-03,0.0,1.0,0.0,633.258640227,-506.811505969
S5-16,0.0,1.0,0.0,502.209337225,-467.454954208
S2-06,0.0,1.0,0.0,1334.76215272,-1935.35095283
S2-03,0.0,1.0,0.0,831.663007023,-682.005447778
S7-10,0.0,0.350694444444,0.0,1437.62289244,-3045.46771425
S7-13,0.0,0.899305555556,0.0,466.29897472,-691.987447875
S7-15,0.0,0.0,0.0,539.397116679,-516.608157964
S7-14,0.0,0.513888888889,0.0,437.630550019,-764.831760779
S7-16,0.0,0.53125,0.0,1010.04915488,-469.516966996
S4-18,0.0,1.0,0.0,435.795340916,-647.811868208
S4-19,0.0,0.0,0.0,736.656163198,-457.038495562
S5-06,0.0,0.9375,0.0,619.081655542,-386.562560427
S5-13,0.0,1.0,0.0,697.386434718,-1058.78977012
S5-11,0.0,0.0,0.0,434.107516821,-556.88887176
S5-10,0.0,0.440972222222,0.0,653.836133381,-2017.10204623
S3-11,0.0,0.760416666667,0.0,972.650840674,-167.403321286
S5-20,0.0,1.0,0.0,749.625401559,-446.207986925
S2-18,0.0,0.517361111111,0.0,2728.55463762,-5145.27261543
S2-19,0.0,0.583333333333,0.0972222222222,4242.50418207,-5552.56363909
S2-12,0.0,1.0,0.0,707.709597848,-1190.52219877
S2-13,0.0,1.0,0.0,10885.9178725,1310.44736564
S2-10,0.0,1.0,0.0,711.949540836,-1078.85699265
S2-11,0.0,1.0,0.0,731.821175193,-1076.29252772
S2-16,0.0,0.947916666667,0.0,3179.71110829,-4062.1398012
S2-17,0.0,1.0,0.0,1192.27910366,-1513.73237082
S2-14,0.0,0.0,0.0,705.314761067,-599.998347863
S2-15,0.0,1.0,0.0,-2657.79484601,-2519.38082587
S5-04,0.0,0.947916666667,0.0,641.775083928,-520.956571043
S5-05,0.0,1.0,0.0,482.523850674,-583.581119169
S1-20,0.0,0.0,0.0,632.439400839,-714.069267191
S5-07,0.0,0.9375,0.0,648.035302445,-944.873931593
S5-01,0.0,0.815972222222,0.0,606.055145019,-455.90782142
S5-02,0.0,1.0,0.0,664.095627902,-358.941703722
S5-03,0.0,0.756944444444,0.0,683.883405059,-466.062197775
S4-11,0.0,1.0,0.0,600.554506385,-722.725205142
S4-12,0.0,0.802083333333,0.0,664.659809547,-616.231290996
S4-13,0.0,0.822916666667,0.0,697.538331568,-584.916683692
S5-08,0.0,1.0,0.0,731.158386981,-1219.23260121
S4-15,0.0,0.0,0.0,853.395996581,-373.639926315
S4-16,0.0,1.0,0.0,223.430203274,-641.691532299
S1-19,0.0,0.0,0.0,1121.40675919,-2274.57866077
S1-18,0.0,0.0,0.486111111111,912.213188679,-676.420045637
S1-17,0.0,0.0,0.222222222222,726.852682905,-724.709192369
S1-16,0.0,0.0,0.0,577.182076042,-648.39357748
S1-15,0.0,0.0,0.989583333333,2588.9463656,-5056.15562824
S1-13,0.0,0.0,0.0,830.633717252,-411.474474155
S1-10,0.0,0.0,0.0,2438.92098329,-3719.55723824
S1-08,0.0,0.0,0.0,699.833072916,-727.941887878
S2-01,0.0,1.0,0.0,1207.57763245,-1151.76504914
S3-20,0.0,1.0,0.0,739.015325128,-602.965486964
S3-21,0.0,0.805555555556,0.0,742.896861977,-848.353136826
S2-21,0.111111111111,0.0,0.0,2130.66997717,-2053.79239203
S2-20,0.0,1.0,0.0,-1245.28688574,-1576.1637471
S1-01,1.0,0.0,0.986111111111,2279.19152755,-10373.6861295
S1-02,0.0,0.0,0.0,898.594705899,-1129.14636541
S1-03,0.0,0.0,0.0,2543.60935461,-3340.17387896
S1-04,0.0,0.0,0.0,1522.40760593,-730.606427647
S1-07,0.0,0.0,0.0,910.434070271,-537.466322682
S3-05,0.0,1.0,0.0,714.630912838,-702.880605517
S2-05,0.0,1.0,0.0,728.940845975,-812.317842676
S3-03,0.0,1.0,0.0,633.258640227,-506.811505969
S5-16,0.0,1.0,0.0,502.209337225,-467.454954208
S2-06,0.0,1.0,0.0,1334.76215272,-1935.35095283
S2-03,0.0,1.0,0.0,831.663007023,-682.005447778
S7-10,0.0,0.350694444444,0.0,1437.62289244,-3045.46771425
S7-13,0.0,0.899305555556,0.0,466.29897472,-691.987447875
S7-15,0.0,0.0,0.0,539.397116679,-516.608157964
S7-14,0.0,0.513888888889,0.0,437.630550019,-764.831760779
S7-16,0.0,0.53125,0.0,1010.04915488,-469.516966996
S4-18,0.0,1.0,0.0,435.795340916,-647.811868208
S4-19,0.0,0.0,0.0,736.656163198,-457.038495562
S5-06,0.0,0.9375,0.0,619.081655542,-386.562560427
S5-13,0.0,1.0,0.0,697.386434718,-1058.78977012
S5-11,0.0,0.0,0.0,434.107516821,-556.88887176
S5-10,0.0,0.440972222222,0.0,653.836133381,-2017.10204623
S3-11,0.0,0.760416666667,0.0,972.650840674,-167.403321286
S5-20,0.0,1.0,0.0,749.625401559,-446.207986925
S5-21,0.0,0.673611111111,0.0,508.860702269,-626.940641106
S2-18,0.0,0.517361111111,0.0,2728.55463762,-5145.27261543
S2-19,0.0,0.583333333333,0.0972222222222,4242.50418207,-5552.56363909
S2-12,0.0,1.0,0.0,707.709597848,-1190.52219877
S2-13,0.0,1.0,0.0,10885.9178725,1310.44736564
S2-10,0.0,1.0,0.0,711.949540836,-1078.85699265
S2-11,0.0,1.0,0.0,731.821175193,-1076.29252772
S2-16,0.0,0.947916666667,0.0,3179.71110829,-4062.1398012
S2-17,0.0,1.0,0.0,1192.27910366,-1513.73237082
S2-14,0.0,0.0,0.0,705.314761067,-599.998347863
S2-15,0.0,1.0,0.0,-2657.79484601,-2519.38082587
S5-04,0.0,0.947916666667,0.0,641.775083928,-520.956571043
S5-05,0.0,1.0,0.0,482.523850674,-583.581119169
S1-20,0.0,0.0,0.0,632.439400839,-714.069267191
S5-07,0.0,0.9375,0.0,648.035302445,-944.873931593
S5-01,0.0,0.815972222222,0.0,606.055145019,-455.90782142
S5-02,0.0,1.0,0.0,664.095627902,-358.941703722
S5-03,0.0,0.756944444444,0.0,683.883405059,-466.062197775
S4-11,0.0,1.0,0.0,600.554506385,-722.725205142
S4-12,0.0,0.802083333333,0.0,664.659809547,-616.231290996
S4-13,0.0,0.822916666667,0.0,697.538331568,-584.916683692
S5-08,0.0,1.0,0.0,731.158386981,-1219.23260121
S4-15,0.0,0.0,0.0,853.395996581,-373.639926315
S4-16,0.0,1.0,0.0,223.430203274,-641.691532299
S1-19,0.0,0.0,0.0,1121.40675919,-2274.57866077
S1-18,0.0,0.0,0.486111111111,912.213188679,-676.420045637
S1-17,0.0,0.0,0.222222222222,726.852682905,-724.709192369
S1-16,0.0,0.0,0.0,577.182076042,-648.39357748
S1-15,0.0,0.0,0.989583333333,2588.9463656,-5056.15562824
S1-13,0.0,0.0,0.0,830.633717252,-411.474474155
S1-10,0.0,0.0,0.0,2438.92098329,-3719.55723824
S1-08,0.0,0.0,0.0,699.833072916,-727.941887878
S2-01,0.0,1.0,0.0,1207.57763245,-1151.76504914
S3-20,0.0,1.0,0.0,739.015325128,-602.965486964
S3-21,0.0,0.805555555556,0.0,742.896861977,-848.353136826
S2-21,0.111111111111,0.0,0.0,2130.66997717,-2053.79239203
S2-20,0.0,1.0,0.0,-1245.28688574,-1576.1637471
S1-01,1.0,0.0,0.986111111111,2279.19152755,-10373.6861295
S1-02,0.0,0.0,0.0,898.594705899,-1129.14636541
S1-03,0.0,0.0,0.0,2543.60935461,-3340.17387896
S1-04,0.0,0.0,0.0,1522.40760593,-730.606427647
S1-07,0.0,0.0,0.0,910.434070271,-537.466322682
S3-05,0.0,1.0,0.0,714.630912838,-702.880605517
S2-05,0.0,1.0,0.0,728.940845975,-812.317842676
S3-03,0.0,1.0,0.0,633.258640227,-506.811505969
S5-16,0.0,1.0,0.0,502.209337225,-467.454954208
S2-06,0.0,1.0,0.0,1334.76215272,-1935.35095283
S2-03,0.0,1.0,0.0,831.663007023,-682.005447778
S7-10,0.0,0.350694444444,0.0,1437.62289244,-3045.46771425
S7-13,0.0,0.899305555556,0.0,466.29897472,-691.987447875
S7-15,0.0,0.0,0.0,539.397116679,-516.608157964
S7-14,0.0,0.513888888889,0.0,437.630550019,-764.831760779
S7-16,0.0,0.53125,0.0,1010.04915488,-469.516966996
S4-18,0.0,1.0,0.0,435.795340916,-647.811868208
S4-19,0.0,0.0,0.0,736.656163198,-457.038495562
S5-06,0.0,0.9375,0.0,619.081655542,-386.562560427
S5-13,0.0,1.0,0.0,697.386434718,-1058.78977012
S5-11,0.0,0.0,0.0,434.107516821,-556.88887176
S5-10,0.0,0.440972222222,0.0,653.836133381,-2017.10204623
S3-11,0.0,0.760416666667,0.0,972.650840674,-167.403321286
S5-20,0.0,1.0,0.0,749.625401559,-446.207986925
S5-21,0.0,0.673611111111,0.0,508.860702269,-626.940641106
S7-08,0.0,1.0,0.0,499.172590692,-556.437156424
S2-18,0.0,0.517361111111,0.0,2728.55463762,-5145.27261543
S2-19,0.0,0.583333333333,0.0972222222222,4242.50418207,-5552.56363909
S2-12,0.0,1.0,0.0,707.709597848,-1190.52219877
S2-13,0.0,1.0,0.0,10885.9178725,1310.44736564
S2-10,0.0,1.0,0.0,711.949540836,-1078.85699265
S2-11,0.0,1.0,0.0,731.821175193,-1076.29252772
S2-16,0.0,0.947916666667,0.0,3179.71110829,-4062.1398012
S2-17,0.0,1.0,0.0,1192.27910366,-1513.73237082
S2-14,0.0,0.0,0.0,705.314761067,-599.998347863
S2-15,0.0,1.0,0.0,-2657.79484601,-2519.38082587
S5-04,0.0,0.947916666667,0.0,641.775083928,-520.956571043
S5-05,0.0,1.0,0.0,482.523850674,-583.581119169
S1-20,0.0,0.0,0.0,632.439400839,-714.069267191
S5-07,0.0,0.9375,0.0,648.035302445,-944.873931593
S5-01,0.0,0.815972222222,0.0,606.055145019,-455.90782142
S5-02,0.0,1.0,0.0,664.095627902,-358.941703722
S5-03,0.0,0.756944444444,0.0,683.883405059,-466.062197775
S4-11,0.0,1.0,0.0,600.554506385,-722.725205142
S4-12,0.0,0.802083333333,0.0,664.659809547,-616.231290996
S4-13,0.0,0.822916666667,0.0,697.538331568,-584.916683692
S5-08,0.0,1.0,0.0,731.158386981,-1219.23260121
S4-15,0.0,0.0,0.0,853.395996581,-373.639926315
S4-16,0.0,1.0,0.0,223.430203274,-641.691532299
S1-19,0.0,0.0,0.0,1121.40675919,-2274.57866077
S1-18,0.0,0.0,0.486111111111,912.213188679,-676.420045637
S1-17,0.0,0.0,0.222222222222,726.852682905,-724.709192369
S1-16,0.0,0.0,0.0,577.182076042,-648.39357748
S1-15,0.0,0.0,0.989583333333,2588.9463656,-5056.15562824
S1-13,0.0,0.0,0.0,830.633717252,-411.474474155
S1-10,0.0,0.0,0.0,2438.92098329,-3719.55723824
S1-08,0.0,0.0,0.0,699.833072916,-727.941887878
S2-01,0.0,1.0,0.0,1207.57763245,-1151.76504914
S3-20,0.0,1.0,0.0,739.015325128,-602.965486964
S3-21,0.0,0.805555555556,0.0,742.896861977,-848.353136826
S2-21,0.111111111111,0.0,0.0,2130.66997717,-2053.79239203
S2-20,0.0,1.0,0.0,-1245.28688574,-1576.1637471
S1-01,1.0,0.0,0.986111111111,2279.19152755,-10373.6861295
S1-02,0.0,0.0,0.0,898.594705899,-1129.14636541
S1-03,0.0,0.0,0.0,2543.60935461,-3340.17387896
S1-04,0.0,0.0,0.0,1522.40760593,-730.606427647
S1-07,0.0,0.0,0.0,910.434070271,-537.466322682
S3-05,0.0,1.0,0.0,714.630912838,-702.880605517
S2-05,0.0,1.0,0.0,728.940845975,-812.317842676
S3-03,0.0,1.0,0.0,633.258640227,-506.811505969
S5-16,0.0,1.0,0.0,502.209337225,-467.454954208
S2-06,0.0,1.0,0.0,1334.76215272,-1935.35095283
S2-03,0.0,1.0,0.0,831.663007023,-682.005447778
S7-10,0.0,0.350694444444,0.0,1437.62289244,-3045.46771425
S7-13,0.0,0.899305555556,0.0,466.29897472,-691.987447875
S7-15,0.0,0.0,0.0,539.397116679,-516.608157964
S7-14,0.0,0.513888888889,0.0,437.630550019,-764.831760779
S7-16,0.0,0.53125,0.0,1010.04915488,-469.516966996
S4-18,0.0,1.0,0.0,435.795340916,-647.811868208
S4-19,0.0,0.0,0.0,736.656163198,-457.038495562
S5-06,0.0,0.9375,0.0,619.081655542,-386.562560427
S5-13,0.0,1.0,0.0,697.386434718,-1058.78977012
S5-11,0.0,0.0,0.0,434.107516821,-556.88887176
S5-10,0.0,0.440972222222,0.0,653.836133381,-2017.10204623
S3-11,0.0,0.760416666667,0.0,972.650840674,-167.403321286
S5-20,0.0,1.0,0.0,749.625401559,-446.207986925
S5-21,0.0,0.673611111111,0.0,508.860702269,-626.940641106
S7-08,0.0,1.0,0.0,499.172590692,-556.437156424
S7-09,0.0,0.795138888889,0.0,465.921667977,-747.604506427
S2-18,0.0,0.517361111111,0.0,2728.55463762,-5145.27261543
S2-19,0.0,0.583333333333,0.0972222222222,4242.50418207,-5552.56363909
S2-12,0.0,1.0,0.0,707.709597848,-1190.52219877
S2-13,0.0,1.0,0.0,10885.9178725,1310.44736564
